Province/State,Country/Region,Last_Update,Latitude,Longitude,Confirmed,Deaths,Recovered
Florida,US,3/22/20 23:45,27.95027105,-81.69732947,11,0,0
Florida,US,3/22/20 23:45,28.84804315,-82.47614748,8,0,0
Florida,US,3/22/20 23:45,27.69308961,-80.60556721,8,0,0
Florida,US,3/22/20 23:45,29.98319144,-81.85609986,7,1,0
Florida,US,3/22/20 23:45,28.29409504,-80.73091022,7,0,0
Florida,US,3/22/20 23:45,28.76202069,-81.7125123,6,0,0
Florida,US,3/22/20 23:45,30.45955727,-84.27491114,5,1,0
Florida,US,3/22/20 23:45,28.70181754,-82.0794267,5,0,0
Florida,US,3/22/20 23:45,28.55364461,-82.42700204,5,0,0
Florida,US,3/22/20 23:45,30.693414500000003,-87.02458128,4,1,0
Florida,US,3/22/20 23:45,30.67652764,-87.37284571,4,0,0
Florida,US,3/22/20 23:45,30.64204028,-86.16935664,4,0,0
Florida,US,3/22/20 23:45,29.21227113,-82.05803627,3,0,0
Florida,US,3/22/20 23:45,27.37763908,-80.47106649,3,0,0
Florida,US,3/22/20 23:45,26.90131002,-81.92949121,2,0,0
Florida,US,3/22/20 23:45,27.0772071,-80.43109784,2,0,0
Florida,US,3/22/20 23:45,30.33060121,-82.28467476,2,0,0
Florida,US,3/22/20 23:45,29.60779729,-81.74230285,2,0,0
Florida,US,3/22/20 23:45,30.22509788,-82.62160164,2,0,0
Florida,US,3/22/20 23:45,30.57796289,-84.61915825,1,0,0
Florida,US,3/22/20 23:45,30.61037141,-81.80297522,1,0,0
Florida,US,3/22/20 23:45,30.795459700000002,-85.21500423,1,0,0
Florida,US,3/22/20 23:45,25.20904673,-81.07812416,1,0,0
Florida,US,3/22/20 23:45,30.26548745,-85.62122584,1,0,0
Florida,US,3/22/20 23:45,27.34254618,-81.34071957,1,0,0
Florida,US,3/22/20 23:45,0.0,0.0,1,0,0
Florida,US,3/22/20 23:45,29.95079741,-82.16611613,1,0,0
Florida,US,3/22/20 23:45,,,1,0,0
Florida,US,3/22/20 23:45,29.45933576,-81.31508595,1,0,0
Louisiana,US,3/22/20 23:45,30.06971951,-89.92660315,451,15,0
Louisiana,US,3/22/20 23:45,29.74075478,-90.11115756,166,3,0
