Province_State,Country_Region,Latitude,Longitude
Louisiana,US,30.53842039,-91.09777565
Louisiana,US,32.57991587,-93.88375652
Louisiana,US,29.87761636,-89.51887093
Louisiana,US,30.20406249,-90.91328409999998
Louisiana,US,29.52470226,-90.40976986
Louisiana,US,29.37343766,-90.82626855
Louisiana,US,30.12597499,-90.4753503
Louisiana,US,29.90709658,-90.35555967
Louisiana,US,30.2049055,-92.06959876
Louisiana,US,32.67932307,-93.60460152
Louisiana,US,29.42245447,-89.60322085
Louisiana,US,30.22931235,-93.35400434
Louisiana,US,30.46058217,-91.30989571
Louisiana,US,30.59724262,-92.00135806
Louisiana,US,30.62888673,-90.40664996
Louisiana,US,30.85288548,-90.03866652
Louisiana,US,29.86803617,-91.75871777
Louisiana,US,30.25734305,-91.3499598
Louisiana,US,30.44143993,-90.73061664
Louisiana,US,31.19778499,-92.52997303
Louisiana,US,32.05457447,-93.74130302
Louisiana,US,30.72985248,-92.39915924
Louisiana,US,32.47645559,-92.15704172
Louisiana,US,30.02531716,-90.80212061
Louisiana,US,29.89946234,-91.06461642
Louisiana,US,32.70847669,-93.33121835
Louisiana,US,31.66778967,-91.84526385
Louisiana,US,31.07796211,-92.00079449
Louisiana,US,30.64836518,-93.34173616
Louisiana,US,32.34569994,-93.05398492
Louisiana,US,32.82308512,-92.99526883
Louisiana,US,29.69262097,-91.44702164
Louisiana,US,30.295064899999996,-92.41419698
Massachusetts,US,42.48607732,-71.39049229
Massachusetts,US,42.327951399999996,-71.07850442
Massachusetts,US,42.16073095,-71.20530408
Massachusetts,US,42.6687626,-70.94687179
Massachusetts,US,42.35026951,-71.90493363
Massachusetts,US,41.94070556,-70.80802823
Massachusetts,US,41.72980578,-70.28854339
Massachusetts,US,41.79228404,-71.10872211
Massachusetts,US,0.0,0.0
Massachusetts,US,42.37428441,-73.20524838
Massachusetts,US,42.13440424,-72.63235561
Massachusetts,US,42.58119713,-72.58602547
Massachusetts,US,,
Massachusetts,US,42.33997957,-72.65898478
Massachusetts,US,,
Texas,US,32.76670599,-96.77796049999999
Texas,US,29.85864939,-95.39339521
Texas,US,30.33432034,-97.78535620000001
Texas,US,32.77143818,-97.29101614
Texas,US,29.44928723,-98.52019748
Texas,US,33.18820114,-96.57264368
Texas,US,33.20521901,-97.11691153
Texas,US,29.52704478,-95.77219463
Texas,US,31.55255453,-97.20217694
Texas,US,29.18757369,-95.44563172
Texas,US,30.30079133,-95.50572772
Texas,US,30.663644800000004,-96.30205577
Texas,US,29.40167322,-94.90469073
Texas,US,32.37474036,-95.27175679999999
Texas,US,31.03736027,-97.4785025
Texas,US,33.61008596,-101.82047890000001
Texas,US,30.64655664,-97.60048540000001
Texas,US,31.76980765,-106.23632749999999
Texas,US,30.05669873,-98.02944344
Texas,US,26.14524221,-97.48140372
Texas,US,27.7610369,-99.33237355
Texas,US,33.98842886,-98.70410340000001
Texas,US,28.81955746,-96.01230294
Texas,US,32.34894117,-96.79371841
Texas,US,29.8832777,-94.16434171
Texas,US,33.60771256,-102.3431676
Texas,US,32.37877812,-97.36615819
Texas,US,29.80811278,-98.27647225
Texas,US,30.54579585,-95.98902499
Texas,US,31.77430356,-98.99907113
Texas,US,34.96585996,-101.8971322
Texas,US,34.53016752,-102.2617243
Texas,US,30.33364686,-94.38931817
Texas,US,26.39418217,-98.18299696
Texas,US,28.89333001,-98.52730485
Texas,US,32.47940482,-94.81591935
Texas,US,29.38508402,-96.93186692
Texas,US,33.44626922,-94.41834132
Texas,US,32.10773545,-94.76176432
Texas,US,33.59564294,-96.10751083
Texas,US,29.08101855,-97.35681170000001
Texas,US,32.56483801,-95.83766469
Texas,US,31.43052248,-102.5143314
Texas,US,33.66981763,-95.57404777
Texas,US,31.86904128,-102.03156820000001
Texas,US,35.40425596,-102.6027606
Texas,US,30.785818300000003,-96.97718698
Texas,US,29.94414155,-98.7113588
Texas,US,29.58165339,-97.94786822
Texas,US,29.87788372,-96.92076062
Texas,US,29.355730100000002,-99.11030298
Texas,US,29.27765923,-96.22319248
Texas,US,27.736286,-97.5433285
Texas,US,32.73706798,-94.93999853
Texas,US,34.96522957,-102.6054267
Texas,US,29.70972016,-94.67154501
Texas,US,30.15152688,-94.81205615
Texas,US,30.78801353,-98.181887
Texas,US,30.73872995,-95.57440968
Georgia,US,33.79216944,-84.46319413
Georgia,US,33.94243204,-84.5761255
Georgia,US,34.23732119,-84.83887523
