Country_Region,Confirmed,Deaths,Last_Update,Latitude,Longitude,Province_State,Recovered
China,78.0,0.0,1/30/20 16:00,23.7248,108.8076,Guangxi,2.0
China,70.0,0.0,1/30/20 16:00,24.4753,101.3431,Yunnan,0.0
China,65.0,1.0,1/30/20 16:00,37.8957,114.9042,Hebei,0.0
China,63.0,0.0,1/30/20 16:00,35.394,109.188,Shaanxi,0.0
China,46.0,1.0,1/30/20 16:00,19.5664,109.9497,Hainan,1.0
China,44.0,2.0,1/30/20 16:00,47.1216,128.7382,Heilongjiang,0.0
China,41.0,0.0,1/30/20 16:00,41.9437,122.529,Liaoning,1.0
China,35.0,0.0,1/30/20 16:00,,,Shanxi,1.0
China,31.0,0.0,1/30/20 16:00,39.3434,117.3616,Tianjin,0.0
China,26.0,0.0,1/30/20 16:00,35.7518,104.2861,Gansu,0.0
China,19.0,0.0,1/30/20 16:00,43.3782,115.0595,Inner Mongolia,0.0
China,17.0,0.0,1/30/20 16:00,,,Ningxia,0.0
China,14.0,0.0,1/30/20 16:00,43.152,126.4371,Jilin,1.0
China,14.0,0.0,1/30/20 16:00,,,Xinjiang,0.0
China,12.0,0.0,1/30/20 16:00,26.843000000000004,107.2903,Guizhou,1.0
China,8.0,0.0,1/30/20 16:00,35.7448,96.4077,Qinghai,0.0
China,1.0,0.0,1/30/20 16:00,30.1534,88.7879,Tibet,0.0
China,5806.0,204.0,1/31/2020 23:59,30.7378,112.2384,Hubei,141.0
China,538.0,0.0,1/31/2020 23:59,29.1416,119.7889,Zhejiang,14.0
China,436.0,0.0,1/31/2020 23:59,23.379,113.7633,Guangdong,11.0
China,352.0,2.0,1/31/2020 23:59,34.2904,113.3824,Henan,3.0
China,332.0,0.0,1/31/2020 23:59,27.6253,111.8569,Hunan,2.0
China,240.0,0.0,1/31/2020 23:59,27.0875,114.9042,Jiangxi,7.0
China,237.0,0.0,1/31/2020 23:59,30.6007,117.9249,Anhui,3.0
China,211.0,0.0,1/31/2020 23:59,29.4316,106.9123,Chongqing,1.0
China,184.0,0.0,1/31/2020 23:59,,,Shandong,2.0
China,177.0,1.0,1/31/2020 23:59,30.2638,102.8055,Sichuan,1.0
China,168.0,0.0,1/31/2020 23:59,33.1402,119.7889,Jiangsu,5.0
China,139.0,1.0,1/31/2020 23:59,40.2374,116.2305,Beijing,5.0
China,135.0,1.0,1/31/2020 23:59,31.2192,121.4456,Shanghai,9.0
China,120.0,0.0,1/31/2020 23:59,26.4837,117.9249,Fujian,0.0
China,87.0,0.0,1/31/2020 23:59,23.7248,108.8076,Guangxi,2.0
China,87.0,0.0,1/31/2020 23:59,35.394,109.188,Shaanxi,0.0
China,83.0,0.0,1/31/2020 23:59,24.4753,101.3431,Yunnan,1.0
China,82.0,1.0,1/31/2020 23:59,37.8957,114.9042,Hebei,0.0
China,59.0,2.0,1/31/2020 23:59,47.1216,128.7382,Heilongjiang,0.0
China,52.0,1.0,1/31/2020 23:59,19.5664,109.9497,Hainan,1.0
China,48.0,0.0,1/31/2020 23:59,41.9437,122.529,Liaoning,1.0
China,39.0,0.0,1/31/2020 23:59,,,Shanxi,1.0
China,32.0,0.0,1/31/2020 23:59,39.3434,117.3616,Tianjin,0.0
